URL,Publisher,Created at,ads.txt Status,RevIQ Status,Sales Status,gamPublisher,Ad Units,inmobi setup?,React?,adyoulike.reviq.rate,anyclip.reviq.rate,video-aio-anyclip.pubname,video-aio-anyclip.widgetname,appnexus.reviq.rate,appnexus.placementId,GAM Status,GAM Admin,iionads.reviq.rate,kargo.reviq.rate,kueezrtb.reviq.rate,medianet.reviq.rate,minutemedia.reviq.rate,nextmillenium.reviq.rate,oms.reviq.rate,optima.reviq.rate,pgamssp.reviq.rate,pgamssp.placementId,pubmatic.reviq.rate,richaudience.reviq.rate,rise.reviq.rate,seedtag.reviq.rate,seedtag.publisherId,smilewanted.reviq.rate,triplelift.reviq.rate,adkernel.reviq.rate,adkernel.zoneId,geniee.reviq.rate,geniee.zoneId,kueez ads.txt,kueezrtb.cId,kueez anyclip Video CID,kueez aniview Video ID,kueez vidazoo Video ID,Notify demand partners?,Set up Slack?,Standard ad units?,anchor,googleInterstitialUnit,Expected Ad Volume,optima reviq status,rtbdemand,scripts.rtbhouse,etc,Test Page,AnyClip Live?
jp.yna.co.kr,Yonhap News,11/18/2025 12:11am,Manual,Paused,Signed,,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,,Pending,Rejected,,,Pending,,To do,Not added,Approved,Pending,Approved,Approved,Rejected,Rejected,Pending,Approved,Approved,,Approved,Approved,Rejected,Pending,,Approved,Pending,Pending,,Pending,,"kueez.com,0a3e9b402267b1e895f33bc2155e87b4 , reseller",69232a7a39f4663586cde41c,69232af839f4663586cde42d,,,,,checked,checked,,38250000.0,,,,,,
lolalytics.com,LoLAlytics,1/22/2026 5:22am,Manual,Set up configs,Ready to Send, 23334778486,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",,checked,Pending,Sent for review,,,Pending,,To do,Not added,Approved,Pending,Approved,Pending,Approved,Approved,Pending,Pending,Approved,,Approved,Approved,Pending,Pending,,Approved,Pending,Pending,,Pending,,"kueez.com,859c7f0c9de02e3568177ac455a15991 , reseller",698090fc64ce68e48159abd6,6980911f64ce68e48159abe0,,,,,checked,checked,,15000000.0,,,,,,
meaegi.com,Meaegi,11/12/2025 11:33pm,Redirect,Live,Ready to Send,23190792861,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Approved,2589,001Te000004ZYO7IAO_M13222,Pending,,Approved,Not added,Approved,Pending,Approved,Approved,Rejected,Rejected,Rejected,Approved,Approved,,Rejected,Approved,Approved,Approved,6618-7583-01,Rejected,Pending,Pending,,Pending,,"kueez.com,5bf271f85b56eaa0b46fc5371fced4ce , reseller",691c7226e647698cce6a54dc,691c723ae647698cce6a56fc,,,,,checked,checked,,51000.0,Live,,,,,Low NA/EU Demand
myfolsom.com,MyFolsom,10/27/2025 4:32pm,Redirect,Live,Signed,23309898973,"right-rail-1,right-rail-2,left-rail-1,left-rail-2,billboard,anchor,mobile-inline-(.*),video",checked,checked,Approved,Approved,2550,001Te000004ZYO7IAO_M12986,Approved,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Rejected,Rejected,Approved,Approved,,Approved,Approved,Approved,Approved,9776-2524-01,Approved,Pending,Pending,,Pending,,"kueez.com,7e69f050b0351f6e01a5dee5aa450566, DIRECT",688731712e262ed416629936,,,6887318117db2532b8c6b994,,,,checked,,204000.0,,,,,,Pending
nugget-ios.com,Juned Pathan,1/24/2026 5:49pm,Redirect,Set up configs,Signed, 23334778486,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,,Pending,Sent for review,,,Pending,,To do,Not added,Approved,Pending,Sent to review,Pending,Rejected,Rejected,Rejected,Pending,Approved,,Rejected,Rejected,Pending,Pending,,Rejected,Pending,Pending,,Pending,,,,,,,,,checked,checked,,200000.0,,,,,,
omenspectate.com,"""HP Development Company, L.P.""",1/9/2026 2:41am,Manual,Not started,Signed,,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",,,Pending,Sent for review,,,Pending,,Need access,Not added,Pending,Pending,Approved,Pending,Approved,Rejected,Pending,Approved,Approved,,Rejected,Approved,Approved,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com,c69ef0dd69e8f647b30c47f3fc8b5abb , reseller",696509af5b7113b6ef353fe3,696509c6bb4a8d5607ac88b2,,,,,checked,checked,,90000000.0,,,,,,
overlayed.gg,OverlayedApps,10/27/2025 4:32pm,Redirect,Live,Signed,23305224914,,checked,checked,Approved,Sent for review,2582,001Te000004ZYO7IAO_M13199,Approved,,Approved,Added,Approved,Pending,Approved,Approved,Rejected,Rejected,Rejected,Pending,Approved,,Rejected,Rejected,Approved,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com,c1c3b5699b7e3f8e15bc41cd7457e40d, DIRECT",68c671be9216bb01599c8147,,,68c671d165a05e9ed5591373,,,,checked,,,,,,,,
overlayedapps.com,OverlayedApps,1/29/2026 7:54am,Redirect,Not started,Signed,,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,checked,Pending,Sent for review,,,Pending,,Need access,Not added,Pending,Pending,Approved,Pending,Rejected,Rejected,Pending,Pending,Pending,,Rejected,Pending,Pending,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com,ddd44445da0816dc43c66136e4d00e84 , reseller",698091878b51b43b584a6076,6980919b62ea28e439854a50,,,,,checked,checked,,,,,,,,
paint-3d.com,Paint 3D,11/15/2025 5:04pm,Manual,Live,Signed,23321472143,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,,Pending,Approved,2587,001Te000004ZYO7IAO_M13220,Pending,,Approved,Not added,Approved,Pending,Approved,Approved,Rejected,Rejected,Rejected,Approved,Approved,,Rejected,Rejected,Approved,Approved,0056-6224-01,Rejected,Pending,Pending,,Pending,,"kueez.com,e80417e8015e7c085949bba226ed8e1b , reseller",691992ec446aa458efe8d9f8,69199318446aa458efe8da04,,,,,checked,checked,,765000.0,Live,,,,,Pending
pepper.ph,Pepper.ph,12/29/2025 6:06pm,Redirect,Live,Ready to Send,,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,checked,Pending,Approved,2577,001Te000004ZYO7IAO_M13135,Pending,,Need access,Not added,Approved,Pending,Approved,Pending,Rejected,Rejected,Rejected,Approved,Approved,,Rejected,Approved,Rejected,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com, be76bb5f63d2082d3a1264e3b2940a71, reseller",69650aa4bb4a8d5607ac88ea,69650ab7f6bc6b63149dfc30,,,,,checked,checked,,8000000.0,,,,,,Low NA/EU Demand
piltoverarchive.com,Piltover Archive,12/9/2025 4:39am,Redirect,Set up configs,Ready to Send,23311359003,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Sent for review,,,Pending,,To do,Not added,Approved,Pending,Sent to review,Pending,Approved,Approved,Approved,Pending,Approved,,Rejected,Rejected,Submitted,Pending,,Rejected,Pending,Pending,,Pending,,,,,,,,,checked,checked,,2000000.0,,,,,,
playcineline.com,Aron Cstalos,10/27/2025 3:57pm,Redirect,Live,Signed,23321565365,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,video,mobile-unit-(.*),billboard-(.*),anchor,leaderboard-(.*)",checked,,Approved,Approved,2574,001Te000004ZYO7IAO_M13131,Pending,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Rejected,Rejected,Rejected,Approved,,Approved,Rejected,Approved,Approved,8181-7411-01,Approved,Pending,Pending,,Pending,,"kueez.com,94d5995eae34990af6339e0b28a6566d , reseller",68f12551a4a830a94975738d,68f12566114594850d41a71e,,68f1258070f6d20f7f42c1a7,,,,checked,,255000.0,,,https://cdn.r9x.in/prod-global-9298809.js,,,Pending
playdecodex.com,Aron Cstalos,10/27/2025 3:57pm,Redirect,Live,Signed,23321565365,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,video,mobile-unit-(.*),billboard-(.*),anchor,leaderboard-(.*)",checked,,Approved,Approved,2572,001Te000004ZYO7IAO_M13129,Pending,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Rejected,Rejected,Approved,Approved,,Rejected,Rejected,Approved,Approved,1477-5273-01,Rejected,Pending,Pending,,Pending,,"kueez.com,dc80d9c9647eafef7165bd2992fa300f , reseller",68f12422114594850d41a668,68f1243a114594850d41a66d,,68f1245970f6d20f7f42c0fc,,,,checked,,765000.0,,,https://cdn.r9x.in/prod-global-9298809.js,,,Pending
playwordslide.com,Aron Cstalos,10/27/2025 3:57pm,Redirect,Live,Signed,23321565365,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,video,mobile-unit-(.*),billboard-(.*),anchor,leaderboard-(.*)",checked,,Approved,Approved,2573,001Te000004ZYO7IAO_M13130,Pending,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Rejected,Rejected,Rejected,Approved,,Approved,Rejected,Approved,Approved,9888-6329-01,Approved,Pending,Pending,,Pending,,"kueez.com,ba5aaffba168c1c4d25eeb404a23d95c , reseller",68f124b9a4a830a949757359,68f124d0114594850d41a6f6,,68f124ec114594850d41a703,,,,checked,,382500.0,,,https://cdn.r9x.in/prod-global-9298809.js,,,Pending
prosettings.gg,ProSettings,12/9/2025 1:50pm,Redirect,Testing,Ready to Send,22844685058,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Approved,2609,001Te000004ZYO7IAO_M13445,Pending,,To do,Not added,Approved,Pending,Approved,Pending,Rejected,Rejected,Approved,Approved,Approved,,Approved,Approved,Approved,Pending,,Approved,Pending,Pending,,Pending,,"kueez.com,35617c9a8550ab24cd6311ec0df2d9d3 , reseller",693ab5b5d2d83dd62b479091,693ab5dd57d5d755ed9a6994,,,,,checked,checked,,4500000.0,,,,,https://www.prosettings.gg/players/b0rup/,Pending
puzzmallow.com,Puzzmallow,12/23/2025 5:35am,Redirect,Ready to go live,Ready to Send, 23334778486,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,checked,Pending,Approved,2605,001Te000004ZYO7IAO_M13391,Pending,,To do,Not added,Approved,Pending,Approved,Pending,Rejected,Rejected,Approved,Approved,Approved,,Approved,Rejected,Approved,Pending,,Approved,Pending,Pending,,Pending,,"kueez.com,0693433f3daaef3b7b1bda9841ec70a8 , reseller ",696508dcbb4a8d5607ac8890,696508f9bb4a8d5607ac8897,,,,,checked,checked,,300000.0,,,,,https://puzzmallow.com/test,Pending
rivalskins.com,Dexerto LTD,10/27/2025 4:32pm,Redirect,Live,Signed,22348890574,"rsk_bottomadhesion_desktop,rsk_bottomadhesion_mobile,rsk_footer_desktop,rsk_inarticle1_desktop,rsk_inarticle1_mobile,rsk_inarticle2_desktop,rsk_inarticle2_mobile,rsk_inarticle3_desktop,rsk_inarticle3_mobile,RSK_SidebarLeft1_Desktop,RSK_SidebarRight1_Desktop,rsk_topadhesion_desktop,rsk_topadhesion_mobile,rsk_topleaderboard_desktop,rsk_topleaderboard_mobile,anchor",checked,,Approved,Approved,2584,001Te000004ZYO7IAO_M13197,Approved,,Approved,Added,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,Approved,Rejected,Approved,Approved,0285-5055-01,Approved,Pending,Pending,,Pending,,"kueez.com,089662732dd25cdb2e814a6bd282d8b4, DIRECT",68c66c649216bb01599c8091,,,68c66c8735bcd39192963ed2,,,,checked,,1020000.0,Pending,,,,,Pending
routinehub.co,RoutineHub,10/27/2025 4:32pm,Redirect,Live,Signed,23123017329,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,billboard,anchor,mobile-inline-(.*),interstitial",checked,,Approved,Approved,2583,001Te000004ZYO7IAO_M13198,Approved,,Approved,Added,Approved,Approved,Approved,Approved,Rejected,Rejected,Approved,Approved,Approved,,Approved,Approved,Approved,Approved,1490-4791-01,Approved,Pending,Pending,,Pending,,"kueez.com,be54fbdf611a9ef5b1bea7fb61d9d4be, DIRECT",688731b912b170b50866fba8,,,688731c92e262ed416629955,,,,checked,name:interstitial,5100000.0,Live,,https://cdn.r9x.in/prod-global-9298809.js,,,Pending
rythm.fm,Rythm Inc.,11/18/2025 11:26pm,Redirect,Not started,Signed,23330404251,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Approved,2484,001Te000004ZYO7IAO_M12509,Pending,,Approved,Not added,Approved,Pending,Approved,Approved,Approved,Rejected,Approved,Approved,Approved,,Rejected,Approved,Approved,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com,063884acd01155ee7abe7034ccdca6de , reseller",691d75c0e647698cce6ad598,691d75d6fe76fe2508fd54ac,,,,,checked,checked,,5000000.0,Pending,,https://cdn.r9x.in/prod-global-9298809.js,,,Paused
sheepesports.com,Sheep Esports,12/9/2025 4:46am,Redirect,Ready to go live,Signed,23003611823,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Approved,2610,001Te000004ZYO7IAO_M13446,Pending,,Approved,Not added,Approved,Pending,Approved,Pending,Approved,Approved,Approved,Approved,Approved,,Approved,Rejected,Approved,Pending,,Approved,Pending,Pending,,Pending,,"kueez.com,29b52c4ebba018b2c9c6fe37120ead2a , reseller",693ab53157d5d755ed9a6980,693ab557fdf6888b565d7af4,,,,,checked,checked,,8000000.0,,,,,https://www.sheepesports.com/en/all/ad-test,Pending
stats-cc.overlayedapps.com,OverlayedApps,11/15/2025 10:21pm,Redirect,Live,Signed,23305224914,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,right-rail-3,billboard,leaderboard-(.*),anchor,in-feed-rail-(.*),inline-mobile-(.*)",checked,checked,Approved,Sent for review,2598,001Te000004ZYO7IAO_M13320,Approved,,Approved,Added,Approved,Pending,Approved,Approved,Rejected,Rejected,Rejected,Rejected,Approved,,Rejected,Rejected,Approved,Approved,4436-1601-01,Rejected,Pending,Pending,,Pending,,"kueez.com,c1c3b5699b7e3f8e15bc41cd7457e40d, DIRECT",68c671be9216bb01599c8147,69232bf092c0eb12af712470,,68c671d165a05e9ed5591373,,,,checked,,80000000.0,,,,,,
strongmetrics.io,Strong Metrics,1/28/2026 6:45am,Manual,Not started,Ready to Send, 23335742977,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",,checked,Pending,Sent for review,,,Pending,,To do,Not added,Pending,Pending,Pending,Pending,Rejected,Rejected,Pending,Pending,Approved,,Rejected,Pending,Pending,Pending,,Rejected,Pending,Pending,,Pending,,,,,,,,,checked,checked,,500000.0,,,,,,
supervive-stats.com,Supervive Stats,10/27/2025 4:32pm,Redirect,Live,Signed,23312572490,"right-rail-1,right-rail-2,left-rail-1,left-rail-2,anchor,inline-mobile-unit-(.*)",checked,checked,Approved,Approved,2541,001Te000004ZYO7IAO_M12935,Pending,,Approved,Added,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,Approved,,Approved,Approved,Approved,Approved,8458-1614-01,Rejected,Pending,Pending,,Pending,,"kueez.com,8faef9217dffd8b07a657b18651c05b6, DIRECT",68c66f0935bcd39192963f18,,,68c66f2365a05e9ed5591324,,,,checked,,76500.0,,,,,,Pending
talentbuilds.com,Fellsims,12/9/2025 4:44am,Redirect,Testing,Signed, 23334778486,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),video",checked,checked,Pending,Approved,2611,001Te000004ZYO7IAO_M13447,Pending,,To do,Not added,Approved,Pending,Approved,Pending,Rejected,Rejected,Approved,Rejected,Approved,,Rejected,Rejected,Approved,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com,e0c5bb4168eb83066aa92f027cea389e , reseller",6914338694ecdd789ddb5d8f,691433a4446aa458efe65bc0,,,,,checked,checked,,1200000.0,,,,,https://talentbuilds.com/ad-test,Pending
talishar.net,Talishar,12/22/2025 5:29pm,Redirect,Testing,Signed, 23311359003,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,checked,Pending,Approved,2612,001Te000004ZYO7IAO_M13448,Pending,,To do,Not added,Approved,Pending,Approved,Pending,Approved,Approved,Approved,Approved,Approved,,Rejected,Rejected,Approved,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com,1e5cb6766f65688fdd92b8840dec856d , reseller",69529b26e59b488bf94f129f,69529b90e59b488bf94f12c7,,,,,checked,checked,,2000000.0,Live,,,,https://talishar.net/ads-test,Pending
whichatlas.com,Which Atlas,1/5/2026 7:45pm,Redirect,Testing,Ready to Send, 23320312090,"left-rail-1,left-rail-2,right-rail-1,right-rail-2,leaderboard-(.*),billboard-(.*),anchor,mobile-unit-(.*),interstitial,video",checked,checked,Pending,Sent for review,,,Pending,,To do,Not added,Pending,Pending,Approved,Pending,Rejected,Rejected,Rejected,Rejected,Approved,,Rejected,Rejected,Approved,Pending,,Rejected,Pending,Pending,,Pending,,"kueez.com, 6a59d8bda192a3f250bbba7818e3d237, reseller",69650a2ebb4a8d5607ac88cd,69650a42bb4a8d5607ac88d2,,,,,checked,checked,,500000.0,,,,,https://whichatlas.com/ad-test,
